,year,round,pick,position,school,firstName,lastName
0,1989,1,1,PF,Louisville ,Pervis,Ellison
1,1989,1,2,PF,Duke ,Danny,Ferry
2,1989,1,3,SF/SG,Arizona ,Sean,Elliott
3,1989,1,4,SF,Michigan ,Glen,Rice
4,1989,1,5,PF/C,North Carolina ,J.,R. Reid
5,1989,1,6,C,Oklahoma ,Stacey,King
6,1989,1,7,SG/SF,Florida State ,George,McCloud
7,1989,1,8,PF,Louisiana Tech ,Randy,White
8,1989,1,9,PF/C,Georgia Tech ,Tom,Hammonds
9,1989,1,10,PG,UCLA ,Pooh,Richardson
10,1989,1,11,SF/SG,Illinois ,Nick,Anderson
11,1989,1,12,PG,Oklahoma ,Mookie,Blaylock
12,1989,1,13,PF,BYU ,Michael,Smith
13,1989,1,14,PG,UTEP ,Tim,Hardaway*
14,1989,1,15,SG,Stanford ,Todd,Lichti
15,1989,1,16,PG,Boston College ,Dana,Barros
16,1989,1,17,PF/C,Trinity Valley CC,Shawn,Kemp
17,1989,1,18,PG,Iowa ,B.,J. Armstrong
18,1989,1,19,PF,Louisville ,Kenny,Payne
19,1989,1,20,PF/C,Georgia Southern ,Jeff,Sanders
20,1989,1,21,SF/SG,East Carolina ,Blue,Edwards
21,1989,1,22,SG,Missouri ,Byron,Irvin
22,1989,1,23,SG/SF,Iowa ,Roy,Marble
23,1989,1,24,PF/C,Arizona ,Anthony,Cook
24,1989,1,25,PG,Seton Hall ,John,Morton
25,1989,1,26,C,KK Partizan ,Vlade,Divac
26,1989,1,27,PF,Illinois ,Kenny,Battle
27,1989,2,28,G,Syracuse ,Sherman,Douglas
28,1989,2,29,F,Tennessee ,Dyron,Nix
29,1989,2,30,F,Vanderbilt ,Frank,Kornet
30,1989,2,31,G,Murray State ,Jeff,Martin
31,1989,2,32,F,DePaul ,Stanley,Brundy
32,1989,2,33,G,Indiana ,Jay,Edwards
33,1989,2,34,C,Missouri ,Gary,Leonard
34,1989,2,35,F,Colorado State ,Pat,Durham
35,1989,2,36,PF/C,Connecticut ,Cliff,Robinson
36,1989,2,37,F,Alabama ,Michael,Ansley
37,1989,2,38,G/F,Villanova ,Doug,West
38,1989,2,39,PF/C,Iowa ,Ed,Horton
39,1989,2,40,PF,KK Split ,Dino,Rađa
40,1989,2,41,C,Tennessee ,Doug,Roth
41,1989,2,42,SG,McNeese State ,Michael,Cutright
